# Global annual emissions for HFC-23
# Outputs from AGAGE 12-box model
# Time stamps are the centre of the averaging period
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol)
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk
# File created 2024-02-12 14:24:10.839835+00:00
# Units: Gg/yr
Year,Month,Decimal_date,Global_annual_emissions,Global_annual_emissions_1-sigma
1975,6,1975.46,3.3082381022962006,0.9783583998800276
1976,6,1976.46,3.412108853553091,1.1920795413621776
1977,6,1977.46,3.6542986657185987,1.1675173798851615
1978,6,1978.46,4.055111559383712,1.0500178334971184
1979,6,1979.46,4.216507724685216,0.9573601350210964
1980,6,1980.46,4.3261330935472495,0.9416762796963863
1981,6,1981.46,4.227156807146147,0.899283826576965
1982,6,1982.46,3.834191418686187,0.9065827719459081
1983,6,1983.46,4.656061392177526,0.9586185322863234
1984,6,1984.46,5.090458271193384,0.8692295602085965
1985,6,1985.46,5.350316483906609,0.8494280517555504
1986,6,1986.46,5.7479251719451545,0.8573542430396427
1987,6,1987.46,5.794054187638121,0.8278671083460137
1988,6,1988.46,6.748611281315206,0.8330146381055876
1989,6,1989.46,7.618529880341374,0.8604183181649075
1990,6,1990.46,7.082930135477382,0.8294217921927168
1991,6,1991.46,6.619382252408158,0.8518339351973709
1992,6,1992.46,7.2788473124675335,0.8207619866400576
1993,6,1993.46,8.188958959406902,0.8020050274215419
1994,6,1994.46,8.177011135188787,0.8085693031591361
1995,6,1995.46,9.088606061045377,0.8109785535012753
1996,6,1996.46,9.520253967726967,0.8314454478187091
1997,6,1997.46,10.100806056679165,0.8314476215021896
1998,6,1998.46,10.42264981740719,0.7671522971499976
1999,6,1999.46,10.348867029978964,0.8064610668983494
2000,6,2000.46,11.064797997100351,0.8884679319803815
2001,6,2001.46,8.939704475878814,0.8574240863213126
2002,6,2002.46,9.46819793866396,0.8554461895471467
2003,6,2003.46,9.637622482754454,0.8606079273538187
2004,6,2004.46,11.866019158721869,0.8757073162380118
2005,6,2005.46,12.652068493728821,0.8672572218560374
2006,6,2006.46,14.336407780532454,0.8865562476484358
2007,6,2007.46,11.611248947209765,0.8359125762498057
2008,6,2008.46,11.45835028503325,0.6308386844128152
2009,6,2009.46,9.59748778636138,0.5630194265141016
2010,6,2010.46,10.52849805758974,0.5964640914139149
2011,6,2011.46,11.728609157340069,0.6115274290185482
2012,6,2012.46,12.919691799546976,0.6340449827646341
2013,6,2013.46,13.923964302794822,0.652588179698151
2014,6,2014.46,14.435299277869296,0.6905524908523142
2015,6,2015.46,12.873910864335862,0.6370848043270962
2016,6,2016.46,12.786738245751446,0.6562897041216607
2017,6,2017.46,15.123098674685131,0.7198020100101903
2018,6,2018.46,16.832849727946375,0.73345354496374
2019,6,2019.46,17.311924936295306,0.7584004353710423
2020,6,2020.46,16.50514026193276,0.755355605623176
2021,6,2021.46,15.533804205481097,0.7596433598791492
2022,6,2022.46,13.954471607853897,0.7664611734140768
2023,6,2023.46,14.051843086776302,0.9477747363753392
