# Global annual emissions for CF4
# Outputs from AGAGE 12-box model
# Time stamps are the centre of the averaging period
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol)
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk
# File created 2022-05-06 13:57:02.711846+00:00
# Units: Gg/yr
Year,Month,Decimal_date,Global_annual_emissions,Global_annual_emissions_1-sigma
1973,6,1973.46,17.92716025637551,1.3066894867349428
1974,6,1974.46,18.653299439212248,1.3232037098693277
1975,6,1975.46,17.18894418769766,1.261566932898014
1976,6,1976.46,16.87643898417258,1.3201816864548468
1977,6,1977.46,17.72383592630971,1.278778476522782
1978,6,1978.46,18.163972717206263,1.3243146129503862
1979,6,1979.46,18.762477044600306,1.2889222242124694
1980,6,1980.46,18.262045708069788,1.3630679595929562
1981,6,1981.46,17.515370015672943,1.2699010657152385
1982,6,1982.46,15.921252459825107,1.2602857810057837
1983,6,1983.46,16.001548136731085,1.3134593263224519
1984,6,1984.46,17.118331830614785,1.355401643945485
1985,6,1985.46,16.41348270000749,1.2714070976356713
1986,6,1986.46,15.593639697452891,1.2522506186701279
1987,6,1987.46,15.960189522649218,1.3018384753625203
1988,6,1988.46,16.11119723111036,1.2242669578796552
1989,6,1989.46,16.386421786472216,1.2695082639969362
1990,6,1990.46,15.5480897171484,1.2359964278252153
1991,6,1991.46,15.53706864579676,1.2258813890989837
1992,6,1992.46,13.226407159206437,1.1912038919241847
1993,6,1993.46,12.45592769420326,1.1844928586805183
1994,6,1994.46,11.445083718663897,1.1866800396981767
1995,6,1995.46,11.498757947441016,1.1448568300789324
1996,6,1996.46,11.4355742090501,1.1952200144825766
1997,6,1997.46,11.316001369740775,1.113781232533771
1998,6,1998.46,11.125525874544266,1.2000834341482407
1999,6,1999.46,11.070059449618213,1.165116720974689
2000,6,2000.46,10.982572045119708,1.1725861397320938
2001,6,2001.46,10.373885287856213,1.1321219648835332
2002,6,2002.46,10.43503109249973,1.1123411459166683
2003,6,2003.46,10.997460116931789,1.0314430440642788
2004,6,2004.46,10.989421585356716,0.988448047437027
2005,6,2005.46,10.746792821111343,0.9014935116566809
2006,6,2006.46,10.950571202478505,0.8297420079751083
2007,6,2007.46,10.912631867280977,0.8136918973778051
2008,6,2008.46,10.240715819685489,0.7883416207045977
2009,6,2009.46,9.6453176650851,0.8226950962575802
2010,6,2010.46,10.219736763929701,0.8074741200112729
2011,6,2011.46,10.964861573084887,0.8295164052346766
2012,6,2012.46,11.174480376199154,0.8381134894239762
2013,6,2013.46,11.124941193445876,0.8020950058381047
2014,6,2014.46,11.250069575206522,0.8412603125730236
2015,6,2015.46,11.975292599558498,0.8859332290027491
2016,6,2016.46,12.947901930554805,0.8945874709797956
2017,6,2017.46,13.910992392142996,0.8649547529305697
2018,6,2018.46,14.339609082955414,0.8990556244649821
2019,6,2019.46,14.443486311623142,0.9334746935741339
2020,6,2020.46,14.541187658098986,1.0549431621710736
2021,6,2021.46,14.733364481344163,1.37469073930619
