# Global annual emissions for SF6
# Outputs from AGAGE 12-box model
# Time stamps are the centre of the averaging period
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol)
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk
# File created 2022-05-06 13:57:05.106322+00:00
# Units: Gg/yr
Year,Month,Decimal_date,Global_annual_emissions,Global_annual_emissions_1-sigma
1973,6,1973.46,0.7304898368540039,0.2273557354886678
1974,6,1974.46,0.7027334875588221,0.22095555838079492
1975,6,1975.46,1.0389510888518725,0.2394736873522092
1976,6,1976.46,1.5203205792262768,0.23254089762605648
1977,6,1977.46,1.9911737139082966,0.2154440829646759
1978,6,1978.46,2.272954999685632,0.19479824341843527
1979,6,1979.46,2.360296710196309,0.1942599011732719
1980,6,1980.46,2.657696128486337,0.21482243244304522
1981,6,1981.46,3.1897363971457726,0.19788496664627428
1982,6,1982.46,3.148514699128006,0.1843701595423588
1983,6,1983.46,2.710433606883914,0.21767136729946993
1984,6,1984.46,3.3150265971852995,0.20805086740395556
1985,6,1985.46,4.107386215348676,0.21878071039742628
1986,6,1986.46,4.433773891975812,0.21634143315218862
1987,6,1987.46,4.151339617701631,0.2120569443923251
1988,6,1988.46,4.255410404302707,0.21927604253700986
1989,6,1989.46,4.609115323707775,0.22413832437327558
1990,6,1990.46,5.034802571028883,0.2221890983656425
1991,6,1991.46,5.435412256733852,0.2487798689297743
1992,6,1992.46,5.462365944057216,0.2514720343549882
1993,6,1993.46,5.527404812075367,0.2410052856150087
1994,6,1994.46,5.906076998246566,0.25191279394897453
1995,6,1995.46,6.240794121374022,0.24506032331729785
1996,6,1996.46,6.176890796671768,0.256223839777246
1997,6,1997.46,5.736287262442922,0.24846768947457937
1998,6,1998.46,5.467872428632084,0.25280465482800757
1999,6,1999.46,5.248972454326889,0.24498917700963235
2000,6,2000.46,5.146646209474427,0.24634553717825936
2001,6,2001.46,5.205923362600344,0.24964576879298625
2002,6,2002.46,5.618252133506728,0.23829431509029184
2003,6,2003.46,5.92056396135406,0.24348253967947656
2004,6,2004.46,5.833935340100404,0.2378536226942759
2005,6,2005.46,6.115535271874336,0.23079812105305442
2006,6,2006.46,6.502894401273067,0.22701360988028235
2007,6,2007.46,6.9537988862180695,0.231329309066479
2008,6,2008.46,7.293258414143583,0.23085112279440584
2009,6,2009.46,7.230171302942853,0.22378890443316166
2010,6,2010.46,7.385397000953493,0.2315800043518145
2011,6,2011.46,7.655944435647188,0.25169965685989504
2012,6,2012.46,7.964759294985913,0.24632828371786036
2013,6,2013.46,8.204384540490127,0.24785623410978944
2014,6,2014.46,8.401960129939697,0.25947706005258686
2015,6,2015.46,8.532423657478931,0.26201246474787343
2016,6,2016.46,8.756369560255324,0.2676614066449324
2017,6,2017.46,8.891021143813832,0.2683560543231157
2018,6,2018.46,8.935540610401164,0.26447877466819036
2019,6,2019.46,8.904120138725334,0.2737888341035015
2020,6,2020.46,8.962573116007905,0.2787377095427757
2021,6,2021.46,9.092413286762836,0.36783104590017623
