,name,hierarchy,countries,iso3
0,World,History|common,,
1,International,History|common,,
2,OECD & EU (R5),History|R5,"['Albania', 'Australia', 'Austria', 'Belgium', 'Bosnia and Herzegovina', 'Bulgaria', 'Canada', 'Croatia', 'Cyprus', 'Czechia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Greece', 'Guam', 'Hungary', 'Iceland', 'Ireland', 'Italy', 'Japan', 'Kosovo', 'Latvia', 'Lithuania', 'Luxembourg', 'Malta', 'Montenegro', 'Netherlands', 'New Zealand', 'North Macedonia', 'Norway', 'Poland', 'Portugal', 'Puerto Rico', 'Romania', 'Serbia', 'Slovakia', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Turkey', 'United Kingdom', 'United States']","['alb', 'aus', 'aut', 'bel', 'bih', 'bgr', 'can', 'hrv', 'cyp', 'cze', 'dnk', 'est', 'fin', 'fra', 'deu', 'grc', 'gum', 'hun', 'isl', 'irl', 'ita', 'jpn', 'srb_ksv', 'lva', 'ltu', 'lux', 'mlt', 'mne', 'nld', 'nzl', 'mkd', 'nor', 'pol', 'prt', 'pri', 'rou', 'svk', 'svn', 'esp', 'swe', 'che', 'tur', 'gbr', 'usa']"
3,Reforming Economies (R5),History|R5,"['Armenia', 'Azerbaijan', 'Belarus', 'Georgia', 'Kazakhstan', 'Kyrgyzstan', 'Moldova', 'Russian Federation', 'Tajikistan', 'Turkmenistan', 'Ukraine', 'Uzbekistan']","['arm', 'aze', 'blr', 'geo', 'kaz', 'kgz', 'mda', 'rus', 'tjk', 'tkm', 'ukr', 'uzb']"
4,Asia (R5),History|R5,"['Afghanistan', 'Bangladesh', 'Bhutan', 'Brunei Darussalam', 'Cambodia', 'China', 'Cook Islands', 'Fiji', 'French Polynesia', 'Hong Kong', 'India', 'Indonesia', 'Kiribati', 'Laos', 'Macao', 'Malaysia', 'Maldives', 'Marshall Islands', 'Micronesia', 'Mongolia', 'Myanmar', 'Nauru', 'Nepal', 'Niue', 'New Caledonia', 'North Korea', 'Pakistan', 'Papua New Guinea', 'Palau', 'Philippines', 'South Korea', 'Samoa', 'Singapore', 'Solomon Islands', 'Sri Lanka', 'Taiwan', 'Thailand', 'Timor-Leste', 'Tonga', 'Tuvalu', 'Vanuatu', 'Viet Nam']","['afg', 'bgd', 'btn', 'brn', 'khm', 'chn', 'cok', 'fji', 'pyf', 'hkg', 'ind', 'idn', 'kir', 'lao', 'mac', 'mys', 'mdv', 'mhl', 'fsm', 'mng', 'mmr', 'nru', 'npl', 'niu', 'ncl', 'prk', 'pak', 'png', 'plw', 'phl', 'kor', 'wsm', 'sgp', 'slb', 'lka', 'twn', 'tha', 'tls', 'ton', 'tuv', 'vut', 'vnm']"
5,Middle East & Africa (R5),History|R5,"['Algeria', 'Angola', 'Bahrain', 'Benin', 'Botswana', 'Burkina Faso', 'Burundi', 'Cameroon', 'Cabo Verde', 'Central African Republic', 'Chad', 'Comoros', 'Congo', ""Côte d'Ivoire"", 'Democratic Republic of the Congo', 'Djibouti', 'Egypt', 'Equatorial Guinea', 'Eritrea', 'Ethiopia', 'Gabon', 'Gambia', 'Ghana', 'Guinea', 'Guinea-Bissau', 'Iran', 'Iraq', 'Israel', 'Jordan', 'Kenya', 'Kuwait', 'Lebanon', 'Lesotho', 'Liberia', 'Libya', 'Madagascar', 'Malawi', 'Mali', 'Mauritania', 'Mauritius', 'Mayotte', 'Morocco', 'Mozambique', 'Namibia', 'Niger', 'Nigeria', 'Palestine', 'Oman', 'Qatar', 'Rwanda', 'Réunion', 'Sao Tome and Principe', 'Saudi Arabia', 'Senegal', 'Seychelles', 'Sierra Leone', 'Somalia', 'South Africa', 'South Sudan', 'Sudan', 'Eswatini', 'Syria', 'Togo', 'Tunisia', 'Uganda', 'United Arab Emirates', 'Tanzania', 'Western Sahara', 'Yemen', 'Zambia', 'Zimbabwe']","['dza', 'ago', 'bhr', 'ben', 'bwa', 'bfa', 'bdi', 'cmr', 'cpv', 'caf', 'tcd', 'com', 'cog', 'civ', 'cod', 'dji', 'egy', 'gnq', 'eri', 'eth', 'gab', 'gmb', 'gha', 'gin', 'gnb', 'irn', 'irq', 'isr', 'jor', 'ken', 'kwt', 'lbn', 'lso', 'lbr', 'lby', 'mdg', 'mwi', 'mli', 'mrt', 'mus', 'myt', 'mar', 'moz', 'nam', 'ner', 'nga', 'pse', 'omn', 'qat', 'rwa', 'reu', 'stp', 'sau', 'sen', 'syc', 'sle', 'som', 'zaf', 'ssd', 'sdn', 'swz', 'syr', 'tgo', 'tun', 'uga', 'are', 'tza', 'esh', 'yem', 'zmb', 'zwe']"
6,Latin America (R5),History|R5,"['Antigua and Barbuda', 'Argentina', 'Aruba', 'Bahamas', 'Barbados', 'Belize', 'Bolivia', 'Brazil', 'Chile', 'Colombia', 'Costa Rica', 'Cuba', 'Dominican Republic', 'Ecuador', 'El Salvador', 'French Guiana', 'Grenada', 'Guadeloupe', 'Guatemala', 'Guyana', 'Haiti', 'Honduras', 'Jamaica', 'Martinique', 'Mexico', 'Nicaragua', 'Panama', 'Paraguay', 'Peru', 'Saint Kitts and Nevis', 'Saint Lucia', 'Saint Vincent and the Grenadines', 'Suriname', 'Trinidad and Tobago', 'United States Virgin Islands', 'Uruguay', 'Venezuela']","['atg', 'arg', 'abw', 'bhs', 'brb', 'blz', 'bol', 'bra', 'chl', 'col', 'cri', 'cub', 'dom', 'ecu', 'slv', 'guf', 'grd', 'glp', 'gtm', 'guy', 'hti', 'hnd', 'jam', 'mtq', 'mex', 'nic', 'pan', 'pry', 'per', 'kna', 'lca', 'vct', 'sur', 'tto', 'vir', 'ury', 'ven']"
7,Other (R5),History|R5,,
8,European Union (R9),History|R9,"['Austria', 'Belgium', 'Bulgaria', 'Croatia', 'Cyprus', 'Czechia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Greece', 'Hungary', 'Ireland', 'Italy', 'Latvia', 'Lithuania', 'Luxembourg', 'Malta', 'Netherlands', 'Poland', 'Portugal', 'Romania', 'Slovakia', 'Slovenia', 'Spain', 'Sweden']","['aut', 'bel', 'bgr', 'hrv', 'cyp', 'cze', 'dnk', 'est', 'fin', 'fra', 'deu', 'grc', 'hun', 'irl', 'ita', 'lva', 'ltu', 'lux', 'mlt', 'nld', 'pol', 'prt', 'rou', 'svk', 'svn', 'esp', 'swe']"
9,USA (R9),History|R9,['United States'],['usa']
10,Other OECD (R9),History|R9,"['Albania', 'Australia', 'Bosnia and Herzegovina', 'Canada', 'Guam', 'Iceland', 'Japan', 'Kosovo', 'Montenegro', 'New Zealand', 'North Macedonia', 'Norway', 'Puerto Rico', 'Serbia', 'United Kingdom', 'Switzerland', 'Turkey']","['alb', 'aus', 'bih', 'can', 'gum', 'isl', 'jpn', 'srb_ksv', 'mne', 'nzl', 'mkd', 'nor', 'pri', 'gbr', 'che', 'tur']"
11,China (R9),History|R9,"['China', 'Hong Kong', 'Macao']","['chn', 'hkg', 'mac']"
12,India (R9),History|R9,['India'],['ind']
13,Other Asia (R9),History|R9,"['Afghanistan', 'Bangladesh', 'Bhutan', 'Brunei Darussalam', 'Cambodia', 'Cook Islands', 'Fiji', 'French Polynesia', 'Indonesia', 'Kiribati', 'Laos', 'Malaysia', 'Maldives', 'Marshall Islands', 'Micronesia', 'Mongolia', 'Myanmar', 'Nauru', 'Niue', 'Nepal', 'New Caledonia', 'North Korea', 'Pakistan', 'Palau', 'Papua New Guinea', 'Philippines', 'South Korea', 'Samoa', 'Singapore', 'Solomon Islands', 'Sri Lanka', 'Taiwan', 'Tuvalu', 'Thailand', 'Timor-Leste', 'Tonga', 'Vanuatu', 'Viet Nam']","['afg', 'bgd', 'btn', 'brn', 'khm', 'cok', 'fji', 'pyf', 'idn', 'kir', 'lao', 'mys', 'mdv', 'mhl', 'fsm', 'mng', 'mmr', 'nru', 'niu', 'npl', 'ncl', 'prk', 'pak', 'plw', 'png', 'phl', 'kor', 'wsm', 'sgp', 'slb', 'lka', 'twn', 'tuv', 'tha', 'tls', 'ton', 'vut', 'vnm']"
14,Reforming Economies (R9),History|R9,"['Armenia', 'Azerbaijan', 'Belarus', 'Georgia', 'Kazakhstan', 'Kyrgyzstan', 'Moldova', 'Russian Federation', 'Tajikistan', 'Turkmenistan', 'Ukraine', 'Uzbekistan']","['arm', 'aze', 'blr', 'geo', 'kaz', 'kgz', 'mda', 'rus', 'tjk', 'tkm', 'ukr', 'uzb']"
