"iso","sector","fuel","units","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022","X2023"
"afg","3E_Enteric-fermentation","process","kt","240.6831","245.3106","255.8285","259.065","265.598","276.994","280.094","288.821","286.382","290.26","287.79","231.527","244.979","262.836","282.074","288.225","280.876","280.285","274.235","275.37","278.21","277.94","262.63","230.15","202.73","160.264","172.94","181.436","179.562","178.4682","187.55","189.76","190.83","197.921","211.1555","239.7213","264.6095","283.4502","318.3395","272.14","225.403","287.893","293.626","285.598","295.401","300.807","304.225","339.559","345.658","401.068","402.513","396.921","393.093","398.287","382.694","380.2907","370.5589","377.8288","379.3602","381.948","384.5866","391.3343","391.3343"
"afg","3B_Manure-management","process","kt","11.6228","11.9632","12.6064","12.816","13.3059","13.9708","14.2788","14.6686","14.5368","14.7194","14.5684","13.0238","13.0677","13.7927","14.5079","14.7652","14.4134","14.7484","14.5809","14.6031","14.7527","14.7326","14.2416","12.4279","10.6732","8.2769","8.6694","8.7523","8.6167","8.5165","9.3445","9.6669","9.8348","10.3563","11.4072","13.5243","14.9067","15.727","17.8642","15.0621","12.1998","18.3753","18.6686","17.5698","18.49","19.5214","20.5011","22.421","22.5567","26.5669","26.1599","26.0913","26.0859","26.3682","24.762","24.6335","23.6297","24.2895","24.5675","24.7894","25.0909","25.6828","25.6828"
"afg","3D_Rice-Cultivation","process","kt","29.4","29.4","29.4","30.8","30.8","31.08","28.84","28.84","28.84","28.28","28","29.4","29.4","29.4","29.4","29.4","29.4","29.4","28.84","26.74","24.36","23.17","21.7","20.86","19.74","21","22.68","25.2","23.8","24.5","24.22","24.5","24.5","25.2","23.8","24.5","25.2","25.2","19.6","18.2","16.94","18.9","20.3","27.3","22.4","22.4","23.8","26.6","28","29.12","29.4","28.7","28.7","30.8","22.96","16.66","15.3233","16.4555","17.8542","20.6577","19.7711","17.92","17.92"
"ago","3E_Enteric-fermentation","process","kt","47.8458","51.3276","53.7","58.696","63.534","66.812","73.16","73.4768","80.097","86.9893","93.94","96.813","98.7464","100.6902","102.618","96.4189","98.3448","101.8957","105.4938","108.8957","110.7188","112.541","114.3141","116.1372","117.9141","119.6872","116.5822","113.5803","110.5584","110.4336","111.9403","113.8722","110.3372","106.8041","106.6788","117.6578","126.4667","138.3958","138.7389","144.725","145.0612","143.7185","142.3152","139.9085","152.7708","156.3148","159.9831","163.6292","166.297","171.2008","174.2041","178.234","182.4235","186.7122","191.8971","194.0373","190.5878","189.0766","196.8895","197.5528","199.6404","201.9059","201.9059"
"ago","3B_Manure-management","process","kt","1.7977","1.9084","1.984","2.1477","2.3081","2.4191","2.6262","2.6387","2.8547","3.0843","3.3197","3.4277","3.5141","3.6011","3.6876","3.524","3.6103","3.7466","3.9327","4.064","4.1467","4.2293","4.3103","4.393","4.4733","4.5533","4.4786","4.3879","4.3258","4.3184","4.3754","4.4426","4.3254","4.2063","4.2192","4.5645","4.8478","5.2082","5.2289","5.4017","5.4746","5.5437","5.552","5.5657","5.9744","6.2413","6.5314","6.8475","7.193","7.5718","7.9505","8.3625","8.8115","9.3013","9.7637","9.5723","9.4962","9.4522","9.8749","10.0401","10.3452","10.6934","10.6934"
"ago","3D_Rice-Cultivation","process","kt","7","5.32","5.6","5.6","6.44","6.16","6.216","6.16","4.2","7","6.16","6.16","6.16","4.2","4.2","5.6","5.6","4.2","3.92","3.36","3.08","3.08","2.52","2.52","1.68","1.68","0.84","0.84","1.12","0.8831","1.12","1.2251","1.4","6.72","3.64","2.24","1.68","1.4","1.456","1.202","1.0903","1.0374","2.2028","3.1422","3.4712","2.1683","2.5234","4.6343","6.638","6.6934","7.2906","7.8126","8.2628","8.419","8.4221","4.499","3.0554","2.3568","2.3708","2.3909","2.4002","2.4002","2.4002"
"alb","3E_Enteric-fermentation","process","kt","51.0367","51.4906","51.2042","51.4577","54.9678","54.7334","55.2454","51.1566","50.1839","49.6985","48.026","46.7616","47.7808","49.6988","50.3373","53.4563","55.7382","59.5358","62.1384","64.0633","65.423","65.8649","67.088","67.12","64.495","67.3085","72.4478","76.4338","78.0788","74.6812","76.7737","76.8377","81.9076","104.7202","106.984","100.1936","93.2431","88.3251","90.7701","92.1131","89.8613","87.3346","88.2756","84.6953","84.0611","82.6406","77.6681","72.6591","68.9131","69.2366","68.5353","69.8533","70.3232","71.0741","71.5909","71.3074","69.5261","68.1089","62.4541","56.048","53.027","48.5041","48.5041"
"alb","3B_Manure-management","process","kt","6.5663","6.6135","6.5308","6.6805","7.3631","7.3944","7.5614","7.024","7.1203","7.0938","6.9425","6.8629","7.0626","7.4313","7.5863","8.0742","8.6176","9.3184","9.8029","10.088","10.4478","10.6469","10.7337","10.78","10.3568","10.8539","11.6277","12.1022","12.2618","12.0797","11.8441","11.3713","12.0783","15.5126","16.0063","15.9617","14.7182","14.0439","14.3434","14.8536","14.6605","14.4644","14.7518","14.5012","14.4036","14.0914","13.2793","12.5527","12.1104","12.2491","12.2287","12.415","12.2925","12.5127","12.4838","12.4019","12.1718","12.0289","11.1859","10.2284","9.7849","8.9841","8.9841"
"alb","3D_Rice-Cultivation","process","kt","0.8308","0.9542","1.0839","0.9909","1.1012","1.0769","1.129","1.1631","1.2225","1.4067","0.9542","1.12","1.344","1.12","1.12","1.12","1.12","1.12","1.12","1.12","1.12","1.12","1.008","1.008","0.84","0.84","0.924","0.896","0.756","0.84","0.224","0.0672","0.0392","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"are","3E_Enteric-fermentation","process","kt","5.6864","5.7329","5.8707","6.0529","6.1838","6.3618","6.4223","6.5839","6.7418","6.8991","7.0606","6.9841","7.498","6.7721","5.6941","3.7695","4.6092","5.4452","5.4161","5.9921","6.28","6.67","7.1741","7.6831","8.2212","8.9448","9.5634","10.1969","10.8761","11.6372","12.4516","13.3177","14.2514","15.253","16.3203","17.4623","18.6843","20.1206","21.5615","22.6559","24.0105","25.3423","26.6235","26.7268","30.6933","32.2911","33.9781","35.7441","41.8485","36.301","36.4317","36.8841","40.9533","44.1509","45.6501","46.2419","47.3802","47.6024","48.4858","49.0194","49.7414","52.7759","52.7759"
"are","3B_Manure-management","process","kt","0.3058","0.3079","0.3151","0.3249","0.3314","0.3408","0.3413","0.3467","0.3523","0.3567","0.3609","0.3533","0.375","0.3314","0.2844","0.1919","0.2322","0.2734","0.2786","0.3334","0.3637","0.3986","0.4393","0.484","0.5127","0.5549","0.5915","0.6291","0.6738","0.7159","0.7626","0.8075","0.8606","0.9636","1.0236","1.143","1.1901","1.2386","1.3461","1.3766","1.4303","1.5069","1.6308","1.66","1.8328","1.8649","1.9148","2.082","2.4254","2.173","2.2042","2.2242","2.4212","2.5985","2.6753","2.7134","2.7838","2.7987","2.8711","2.8971","2.9388","3.1101","3.1101"
"arg","3E_Enteric-fermentation","process","kt","2777.179","2778.9258","2609.749","2745.57","2998.3565","3117.12","3253.0524","3251.1704","3053.5064","3062.2203","3133.136","3271.0536","3409.2764","3410.6646","3484.9775","3568.646","3718.0357","3518.4244","3466.0684","3402.9394","3320.6013","3224.653","3285.99","3318.684","3290.8","3210.9975","3121.424","3191.6287","3213.037","3223.295","3189.832","3212.876","3160.0725","3183.4421","3145.0303","3036.8262","2990.0774","2880.7884","2941.9807","2919.5254","2928.5614","3098.45","3321.3078","3382.1651","3396.4126","3472.222","3497.128","3431.5847","3252.5568","2940.9036","2886.811","2995.1601","3057.8476","3090.4086","3062.8874","3124.6657","3245.0728","3239.8358","3255.3446","3223.9338","3155.418","3196.4316","3196.4316"
"arg","3B_Manure-management","process","kt","61.6989","60.5549","57.3742","59.9008","64.8526","67.1872","69.6269","68.7089","64.9817","66.1349","67.6629","69.5536","72.4372","71.3343","72.488","73.962","75.6174","71.5448","70.8676","70.3547","69.1787","67.3186","68.4426","68.8609","68.4323","67.3253","65.5589","66.1097","66.4532","66.5187","65.8202","66.4862","65.4779","66.3877","65.4381","63.4373","62.6554","61.1816","61.0049","60.6776","60.7976","63.4348","67.584","68.7646","69.3416","71.0726","71.6327","70.4668","67.2481","62.4891","61.7898","64.2544","65.7657","66.8911","65.3802","66.5667","68.8893","68.7886","69.1614","68.9099","67.5386","68.2701","68.2701"
"arg","3D_Rice-Cultivation","process","kt","12.88","14.8568","14.644","15.1256","19.0064","13.1026","17.3124","19.824","24.5","28.532","21.616","23.268","21.434","23.156","25.9","24.4356","25.368","26.6","28.672","23.016","22.904","31.808","25.788","35.9478","30.45","31.612","26.5104","25.676","29.372","32.6536","24.1542","39.396","39.102","39.5752","51.5522","54.1002","62.8342","59.2774","80.976","52.934","42.5236","34.7228","37.2092","47.3698","44.5026","47.327","46.0978","51.0888","54.264","60.3876","72.0846","65.9042","65.156","68.096","65.1252","58.1672","57.148","55.4876","51.3198","51.884","55.998","52.0996","52.0996"
"arm","3E_Enteric-fermentation","process","kt","15.6607401968809","16.9945830951569","18.1516572871163","18.0862555959178","18.5447602642923","19.9228901125763","21.0076417000241","21.4389969153163","21.6062679865804","21.5991230090728","22.7921493976367","23.7096035464314","24.3253277545361","25.2017295163226","26.1084490132354","26.5715130267104","26.7320257328211","27.5242949571403","28.1169279850088","28.6056289860549","28.7888809215782","29.1878439594776","29.62539455579","30.3393666400187","30.7289185628018","30.8595874602184","31.3656177693239","30.8441355901392","31.1480975535427","30.7305496807177","29.7428161658188","26.83","23.9849","23.6415","23.336","23.3053","23.2549","21.2616","21.5104","21.7373","22.4631","23.3734","24.2637","25.447","25.536","26.2183","27.4738","27.7424","25.5387","24.7331","24.8245","26.13","28.8216","29.6644","30.2039","30.8638","28.8316","26.0156","25.173","25.5262","27.0855","25.0774","25.0774"
"arm","3B_Manure-management","process","kt","0.672373381181701","0.738213357382287","0.78399628764673","0.719201324038486","0.774922156964911","0.845211182418668","0.885947008644678","0.890589424282373","0.896865629909623","0.939043094135206","1.0188343417398","1.06627440133731","1.08430686056283","1.13002726664017","1.17276151660519","1.15727766764974","1.18777696546367","1.20137518049346","1.23563466649404","1.25895664596793","1.27290327439785","1.29147150391935","1.32086596364296","1.3535877397295","1.3686242772065","1.37849775508062","1.4040999656541","1.3859247473526","1.40243571321089","1.38269807488818","1.34462720567159","1.248","0.9705","0.974","0.9746","0.9735","0.9499","0.8797","0.9173","0.9177","0.944","1.0041","1.0542","1.075","1.0807","1.1549","1.2047","1.1497","1.0682","1.0663","1.0621","1.1053","1.2338","1.2602","1.2804","1.3315","1.2563","1.1514","1.1464","1.1824","1.2133","1.112","1.112"
"atg","3E_Enteric-fermentation","process","kt","0.4503","0.4611","0.4655","0.5284","0.5325","0.5215","0.5398","0.5647","0.5911","0.596","0.6126","0.6133","0.6056","0.5899","0.5904","0.5991","0.6085","0.7433","0.9486","1.0859","1.083","1.1413","1.1415","1.1417","1.2643","1.2678","1.2683","1.2685","1.1491","1.1391","1.1662","1.1664","1.1804","1.198","1.2024","1.1581","1.1474","1.1323","1.1342","1.1235","1.1552","1.1733","1.1896","1.2136","1.2135","1.2187","1.2078","1.2044","1.1978","0.5675","0.572","0.572","0.5704","0.572","0.5727","0.5702","0.5719","0.5317","0.447","0.4262","0.4111","0.3965","0.3965"
"atg","3B_Manure-management","process","kt","0.0201","0.0205","0.0206","0.0222","0.0225","0.0228","0.0236","0.0249","0.0255","0.0258","0.0284","0.0268","0.0268","0.0228","0.0219","0.0221","0.0238","0.0272","0.0328","0.0362","0.0339","0.0353","0.036","0.0366","0.0394","0.0396","0.0396","0.04","0.0366","0.0363","0.038","0.0382","0.0389","0.0396","0.0402","0.0398","0.0411","0.0421","0.0444","0.0405","0.0417","0.0423","0.0432","0.0441","0.0443","0.0445","0.0435","0.0438","0.0434","0.0331","0.0336","0.0336","0.0333","0.0334","0.0332","0.0332","0.0335","0.0322","0.03","0.0295","0.0292","0.0289","0.0289"
"aus","3E_Enteric-fermentation","process","kt","2369.6686","2453.4333","2492.0928","2567.5654","2596.3776","2435.6842","2508.0897","2583.6235","2726.3877","2862.6743","2975.1645","3035.9298","2955.5464","3095.1827","3262.7838","3276.1417","3051.3663","2884.6429","2770.4964","2729.1457","2652.74","2643.5284","2481.1419","2509.833","2628.3142","2648.0514","2573.806","2597.7196","2705.0631","2819.4132","2792.974","2688.1628","2617.9775","2677.7841","2582.0161","2625.0958","2645.1015","2629.605","2598.772","2686.0975","2634.542","2607.358","2475.9754","2541.3301","2558.9849","2513.479","2442.9603","2325.7896","2331.6978","2220.8519","2368.4404","2379.6363","2438.2014","2402.6685","2289.0499","2112.0831","2219.7648","2218.1537","2078.4698","1987.8859","2080.059","2094.4555","2094.4555"
"aus","3B_Manure-management","process","kt","187.5355","192.6305","191.7838","189.9508","191.9666","184.91","187.505","191.3039","196.5551","202.6027","207.1887","216.829","213.8463","203.8632","204.6495","204.4157","193.1529","184.325","178.3263","178.7985","173.659","172.2806","168.0323","169.9564","173.8682","173.9936","171.0358","172.4376","174.9942","178.4615","175.3744","175.7839","172.544","178.5718","174.3033","175.8347","179.4257","184.1712","183.6328","185.2473","186.9877","187.2067","176.8648","177.2118","175.0315","175.0089","168.7177","157.7167","157.3614","149.9677","155.991","157.4415","158.5011","159.1339","155.7799","146.8361","152.2032","153.5798","141.6558","137.9815","145.5507","145.1387","145.1387"
"aus","3D_Rice-Cultivation","process","kt","6.3","6.3973","7.0021","7.572","7.8545","8.2092","9.398","9.6825","10.6142","12.6457","12.8271","12.7477","14.2065","21.2631","23.802","23.5746","28.992","28.8017","34.7225","36.6521","33.39","40.005","24.255","37.497","38.367","33.4215","30.2085","33.201","30.555","33.075","28.035","40.005","39.375","41.8005","40.698","47.1555","52.5105","44.478","47.7855","41.9895","55.6214","45.4762","14.439","20.9147","16.133","32.1703","6.208","0.7302","2.2661","5.9633","23.8716","32.4812","35.796","24.158","21.9442","8.3869","25.8942","19.2626","2.4003","1.5773","14.2015","19.7029","19.7029"
