"iso","sector","fuel","units","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022","X2023"
"afg","3B_Manure-management","process","kt","8.0385","7.9076","8.123","8.2375","8.4387","8.7113","8.7893","9.1512","9.0528","9.1812","9.0968","6.5924","7.432","8.0815","8.8034","9.0197","8.7799","8.5958","8.3617","8.4198","8.5129","8.5101","7.952","7.1986","6.5359","5.3532","5.8659","6.3222","6.3052","6.3066","6.5581","6.5356","6.4902","6.6681","7.0093","7.4985","8.3202","9.0819","10.0587","8.8407","7.3904","8.413","8.5774","8.7057","8.7433","8.4124","8.0134","9.1749","9.4244","10.7282","11.1357","10.9626","10.7306","10.8478","0","0","10.5121","10.5793","10.5498","10.5957","10.5855","10.6896","0"
"afg","3D_Soil-emissions","process","kt","1.2803","1.2982","1.3329","1.36","1.4007","1.4675","1.6492","1.8011","1.8168","1.8459","1.8093","1.4045","1.5796","1.829","2.0326","2.1366","2.218","2.1484","2.0664","2.1756","2.0015","2.2111","2.0636","2.2438","2.1314","1.861","1.985","2.0195","2.0218","1.8999","1.9049","1.8092","1.8205","1.0099","1.0386","1.2744","1.3831","1.4931","1.6156","1.3999","1.5047","1.6948","1.6359","1.6885","1.707","1.6557","1.53","1.6868","1.7421","1.9225","2.1744","2.0227","2.3569","3.1895","0","0","4.5244","4.1067","2.8317","2.4924","2.2949","2.1574","0"
"ago","3B_Manure-management","process","kt","2.4528","2.6198","2.7338","2.9773","3.2135","3.3757","3.6832","3.7046","4.0243","4.3592","4.7009","4.8521","4.9594","5.0672","5.1741","4.8985","5.0053","5.1887","5.3938","5.5672","5.6673","5.7672","5.8639","5.964","6.0602","6.1562","6.0212","5.8854","5.7601","5.7415","5.8243","5.9237","5.7496","5.5743","5.5762","6.109","6.5414","7.1145","7.1487","7.441","7.5176","7.5258","7.5073","7.4425","8.0796","8.3261","8.5876","8.8606","9.113","9.4596","9.7392","10.0706","10.425","10.8023","0","0","11.0773","11.0203","11.4737","11.605","11.8474","12.1642","0"
"ago","3D_Soil-emissions","process","kt","0.1561","0.1593","0.1622","0.1778","0.2185","0.2379","0.2713","0.2733","0.2782","0.2942","0.4194","0.428","0.394","0.3495","0.2675","0.2482","0.5099","0.4562","0.4705","0.4771","0.3908","0.3629","0.3931","0.401","0.5994","0.4465","0.4298","0.4532","0.543","0.4464","0.4453","0.4652","0.4365","0.4306","0.4324","0.4454","0.4558","0.4688","0.4641","0.4549","0.4362","0.5287","0.5246","0.6695","0.6128","0.7198","0.7489","0.8589","0.9621","1.1831","1.2271","1.3686","1.4768","1.7225","0.0414","0.0414","1.7322","1.6243","1.5826","1.7693","1.6996","2.0648","0.0414"
"alb","3B_Manure-management","process","kt","1.5245","1.549","1.531","1.5336","1.6361","1.615","1.6208","1.4606","1.397","1.3748","1.3025","1.2561","1.2682","1.2919","1.3053","1.3605","1.3971","1.4605","1.5175","1.6018","1.635","1.656","1.6958","1.7077","1.6507","1.72","1.8427","1.9512","2.0137","1.9614","2.006","2.0184","2.1494","2.7621","2.7858","2.4568","2.2939","2.1771","2.2536","2.2718","2.2058","2.124","2.1756","2.0753","2.0564","2.0412","1.9475","1.8465","1.7602","1.773","1.7482","1.7917","1.8207","1.8559","0","0","1.834","1.7936","1.6644","1.4906","1.4229","1.3057","0"
"alb","3D_Soil-emissions","process","kt","0.5161","0.4935","0.4886","0.4923","0.5274","0.5481","0.6379","0.8553","0.7911","0.9269","1.092","1.1164","1.2014","1.229","1.2342","1.463","1.5883","2.0857","2.0934","2.0661","2.1585","2.1315","2.1867","2.2283","2.2049","2.2344","2.105","2.2016","2.438","2.3456","1.2702","1.0884","1.1402","1.3194","1.2897","1.1629","1.0742","1.317","1.083","1.2384","1.1928","1.7564","1.751","1.7083","1.7275","1.5643","1.5575","1.4714","1.5492","1.5004","1.622","1.5755","1.4804","1.4954","0.0704","0.0704","1.6273","1.3113","1.5396","1.3593","0.642","0.9358","0.0704"
"are","3B_Manure-management","process","kt","0.1487","0.1515","0.1559","0.1611","0.1652","0.1701","0.1798","0.1939","0.208","0.2236","0.2388","0.2478","0.2704","0.2651","0.2176","0.1529","0.1874","0.2292","0.2384","0.2694","0.2892","0.3138","0.3466","0.3765","0.4008","0.4356","0.4645","0.4935","0.5229","0.5567","0.5938","0.6309","0.673","0.7422","0.79","0.8704","0.914","0.9559","1.0324","1.0719","1.1214","1.1835","1.2663","1.2643","1.3645","1.4016","1.4519","1.562","1.8244","1.7072","1.7163","1.7221","1.9179","2.0643","0","0","2.2152","2.238","2.2269","2.2529","2.2725","2.4234","0"
"are","3D_Soil-emissions","process","kt","4e-04","4e-04","4e-04","4e-04","4e-04","5e-04","6e-04","7e-04","8e-04","0.001","0.0013","0.011","0.0124","0.0157","0.0187","0.0222","0.012","0.0174","0.047","0.0533","0.0571","0.061","0.067","0.0567","0.0731","0.0369","0.0594","0.0598","0.1815","0.2109","0.3153","0.4164","0.4382","0.5071","0.5497","0.5469","0.5394","0.5461","0.5585","0.5306","0.5232","0.705","0.7122","0.7138","0.7115","0.6879","0.7105","0.7297","0.5261","0.5976","0.5801","0.4658","0.41","0.3194","0","0","0.2849","0.2667","0.2789","0.319","0.3066","0.3098","0"
"arg","3B_Manure-management","process","kt","83.8759","83.2524","78.3397","82.1674","89.4566","92.5037","96.3927","95.6326","90.0183","90.5991","92.0695","95.3554","99.1947","98.1209","99.7933","101.9777","105.9596","100.2782","98.5002","96.7419","94.683","91.9812","93.6543","94.3271","93.6958","91.7036","89.2603","91.027","91.8696","92.2369","91.1199","91.9376","89.5816","90.1394","88.7045","85.6732","84.2216","81.3728","82.7415","82.2013","82.45","87.0997","93.5343","95.3708","95.7877","97.8268","98.6608","96.9081","92.0166","83.7565","82.3457","85.4068","87.1994","88.4333","0","0","92.6396","92.4863","92.9973","92.2752","90.1728","91.1329","0"
"arg","3D_Soil-emissions","process","kt","3.8492","3.5899","3.8879","4.0413","4.1739","4.4412","4.5257","4.3368","4.5759","4.639","5.1412","5.2981","5.3572","5.1158","4.9993","5.2446","4.8968","4.8505","5.3785","5.8244","5.6065","5.6052","5.7602","6.6219","6.6137","6.4462","6.3729","6.2385","5.9332","6.0009","5.7709","6.7967","7.4027","10.0325","10.7789","14.7163","14.122","13.2126","13.4022","14.2306","14.2088","14.6497","18.8675","20.0459","16.9763","20.3544","24.315","19.6986","13.6998","20.0887","22.0077","19.6554","20.91","20.8017","0.2924","0.2924","24.8112","28.5603","31.0338","33.5916","38.9515","41.3073","0.2924"
"arm","3B_Manure-management","process","kt","0.921004171765176","0.988647000229881","1.04190424519427","1.00367014098469","1.01988991190032","1.0947351696737","1.15010491318885","1.17007688303781","1.18184778349409","1.17570408705089","1.25239432706299","1.30122250941491","1.32339707007622","1.37149703592796","1.41934113749916","1.41784974215405","1.42940873731962","1.47397702360431","1.50664425028435","1.53218431863805","1.53909659821178","1.55819901354554","1.58166193385585","1.62145433840259","1.63481111960162","1.64019339246634","1.66805833363114","1.64229683957767","1.65722874453857","1.63159790005786","1.57160696199317","1.63","1.356","1.335","1.3126","1.3104","1.2996","1.1949","1.2223","1.2442","1.2766","1.3342","1.3955","1.4634","1.4668","1.5199","1.5777","1.5691","1.4538","1.4191","1.4145","1.4905","1.6475","1.6924","0","0","1.6572","1.5098","1.4715","1.5011","1.5728","1.462","0"
"arm","3D_Soil-emissions","process","kt","0.109125394874969","0.122319508962418","0.135257719425878","0.137842918600564","0.155066991275456","0.173726635332832","0.190573554993787","0.201661633895914","0.212289436915553","0.236247946935574","0.262556207394991","0.281628036166821","0.302021327327755","0.322664318092334","0.34806821535417","0.346485940623122","0.359661796161417","0.372321221439735","0.373934340080559","0.401316211317311","0.408170635171665","0.430740163250947","0.471943021899329","0.477998999307351","0.501700674046301","0.521153108935343","0.536910828868153","0.530646385176132","0.484135241346095","0.564908510986917","0.525357127882835","0.4381","0.3765","0.2095","0.2088","0.229","0.2215","0.2535","0.191","0.2075","0.1652","0.3975","0.2953","0.349","0.2887","1.2967","0.6523","0.5811","0.8953","0.6955","0.8262","1.2752","1.3137","1.1062","0","0","1.9785","1.9737","0.6175","0.6582","0.4913","0.4454","0"
"atg","3B_Manure-management","process","kt","0.0136","0.0138","0.0139","0.0153","0.0155","0.0155","0.016","0.0167","0.0174","0.0176","0.0182","0.0181","0.0181","0.0176","0.0175","0.0176","0.0182","0.021","0.0261","0.0298","0.0294","0.0309","0.031","0.0311","0.034","0.0343","0.0343","0.0344","0.0314","0.0314","0.0307","0.0307","0.0316","0.0327","0.0338","0.035","0.0358","0.0361","0.0359","0.0357","0.0367","0.0373","0.0378","0.0386","0.0386","0.039","0.0399","0.0391","0.0387","0.0227","0.0227","0.0227","0.0227","0.0227","0","0","0.0227","0.0225","0.0197","0.019","0.0183","0.018","0"
"atg","3D_Soil-emissions","process","kt","0.0028","0.0029","0.0029","0.0033","0.0033","0.0033","0.0034","0.0037","0.0038","0.0038","0.0043","0.0041","0.0041","0.0034","0.0033","0.0034","0.0036","0.0044","0.0054","0.006","0.0056","0.0059","0.006","0.0061","0.0065","0.0065","0.0065","0.0066","0.0061","0.006","0.0072","0.0072","0.0072","0.0073","0.0072","0.0061","0.0062","0.0063","0.0073","0.0066","0.0068","0.0071","0.0077","0.0072","0.0076","0.0074","0.0063","0.0067","0.0069","0.0051","0.0054","0.0059","0.0059","0.0056","0","0","0.0055","0.0049","0.005","0.0045","0.0045","0.0048","0"
"aus","3B_Manure-management","process","kt","109.2463","113.0836","114.6374","118.6095","120.5927","112.708","116.4517","119.8112","126.4667","132.4913","136.5443","136.8274","130.5259","136.7068","143.9939","144.0755","133.8007","127.0103","123.217","121.9837","118.8893","119.0449","112.2423","114.1454","120.1717","120.7306","118.3272","119.904","125.2524","130.9666","128.9788","122.9386","118.7282","120.1169","114.6754","116.3544","116.9216","115.8644","114.263","118.07","115.0936","113.5768","107.5845","110.4479","111.3133","108.2612","104.7105","99.1539","98.9281","94.148","100.4749","101.0599","103.413","101.6973","0","0","94.8034","94.4796","88.7766","84.9495","89.1815","90.0955","0"
"aus","3D_Soil-emissions","process","kt","2.8016","3.0529","3.616","3.5099","3.6439","3.9029","4.8684","5.1861","5.0106","5.1355","5.3543","6.6117","6.8689","7.0035","6.8449","7.75","6.9611","7.5687","8.0404","8.1061","8.0429","8.1424","9.0049","9.7925","9.7696","9.6763","10.2637","10.9677","11.879","13.1269","13.5901","14.2125","15.8789","16.4011","18.2205","21.5496","21.9526","24.9716","27.1085","24.3814","26.1852","24.867","23.9114","26.5211","24.3021","22.5801","22.3712","21.9175","22.2947","24.8363","27.4695","28.0742","30.1463","33.9489","1.1808","1.1808","35.5864","33.9302","32.3203","41.8794","47.4097","44.4854","1.1808"
