model,scenario,region,variable,unit,method
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|BC|Agricultural Waste Burning,Mt BC/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|BC|Agriculture,Mt BC/yr,model_zero
REMIND-MAgPIE 3.5-4.11,all,World,Emissions|BC|Aircraft,Mt BC/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|BC|Energy Sector,Mt BC/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|BC|Forest Burning,Mt BC/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|BC|Grassland Burning,Mt BC/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|BC|Industrial Sector,Mt BC/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,World,Emissions|BC|International Shipping,Mt BC/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|BC|Peat Burning,Mt BC/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|BC|Residential Commercial Other,Mt BC/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|BC|Solvents Production and Application,Mt BC/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|BC|Transportation Sector,Mt BC/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|BC|Waste,Mt BC/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|CH4|Agricultural Waste Burning,Mt CH4/yr,reduce_ratio_2050
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|CH4|Agriculture,Mt CH4/yr,reduce_ratio_2050
REMIND-MAgPIE 3.5-4.11,all,World,Emissions|CH4|Aircraft,Mt CH4/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|CH4|Energy Sector,Mt CH4/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|CH4|Forest Burning,Mt CH4/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|CH4|Grassland Burning,Mt CH4/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|CH4|Industrial Sector,Mt CH4/yr,model_zero
REMIND-MAgPIE 3.5-4.11,all,World,Emissions|CH4|International Shipping,Mt CH4/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|CH4|Peat Burning,Mt CH4/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|CH4|Residential Commercial Other,Mt CH4/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|CH4|Solvents Production and Application,Mt CH4/yr,model_zero
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|CH4|Transportation Sector,Mt CH4/yr,model_zero
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|CH4|Waste,Mt CH4/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|CO|Agricultural Waste Burning,Mt CO/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|CO|Agriculture,Mt CO/yr,model_zero
REMIND-MAgPIE 3.5-4.11,all,World,Emissions|CO|Aircraft,Mt CO/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|CO|Energy Sector,Mt CO/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|CO|Forest Burning,Mt CO/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|CO|Grassland Burning,Mt CO/yr,constant_ratio
REMIND-MAgPIE 3.5-4.11,all,all,Emissions|CO|Industrial Sector,Mt CO/yr,constant_ratio
