# Global annual emissions for C2F6
# Outputs from AGAGE 12-box model
# Time stamps are the centre of the averaging period
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol)
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk
# File created 2022-05-06 13:57:04.510860+00:00
# Units: Gg/yr
Year,Month,Decimal_date,Global_annual_emissions,Global_annual_emissions_1-sigma
1973,6,1973.46,2.0079454531542074,0.2147636836757873
1974,6,1974.46,2.06195325203483,0.19472037347828922
1975,6,1975.46,1.8979078807368006,0.19273444474993745
1976,6,1976.46,1.830444820630274,0.21858787053373865
1977,6,1977.46,1.8940150735651813,0.19414344068139341
1978,6,1978.46,1.966874770236488,0.21248342896081746
1979,6,1979.46,2.0349533887230007,0.2384128693778127
1980,6,1980.46,2.0622560700147337,0.22132260411116855
1981,6,1981.46,1.893829099749067,0.20994528786198624
1982,6,1982.46,1.6349034648043952,0.2160120448766821
1983,6,1983.46,1.7313384089547503,0.21373119782491354
1984,6,1984.46,2.266643877579255,0.23323396594863205
1985,6,1985.46,2.3111345601743167,0.2158281246236931
1986,6,1986.46,2.2426380348194566,0.2155943101115059
1987,6,1987.46,2.0917832822617446,0.21895079391810188
1988,6,1988.46,2.151259271466081,0.2183837396888249
1989,6,1989.46,2.2700923147831875,0.22506645514557735
1990,6,1990.46,2.299541445538168,0.2181625908067751
1991,6,1991.46,2.3098490267598204,0.21752875840309469
1992,6,1992.46,2.106891382558718,0.21364803947403047
1993,6,1993.46,2.102876606977528,0.21187460641188385
1994,6,1994.46,2.079866865940978,0.21355630635518702
1995,6,1995.46,2.2865638574440306,0.2129887297351558
1996,6,1996.46,2.591237829378663,0.2148005861256201
1997,6,1997.46,2.925239322380899,0.20407486612791897
1998,6,1998.46,2.957889384961916,0.2090814019899756
1999,6,1999.46,3.0514272588947553,0.20871109143734046
2000,6,2000.46,3.102689945987825,0.2216620972703224
2001,6,2001.46,2.8690536138370724,0.2029512779952538
2002,6,2002.46,2.8517185759003127,0.20310131020208028
2003,6,2003.46,2.6629576036186786,0.1863288068314249
2004,6,2004.46,2.3989333845876217,0.16440684838385813
2005,6,2005.46,2.238795891971414,0.15934356197453414
2006,6,2006.46,2.3015381449268517,0.1502794064899895
2007,6,2007.46,2.318492396593854,0.14326019744336865
2008,6,2008.46,2.0762184843864833,0.14720374294607805
2009,6,2009.46,1.8570969198323544,0.1451074874458068
2010,6,2010.46,1.9757946555097197,0.14419604442605832
2011,6,2011.46,1.94415200227046,0.14523805704535342
2012,6,2012.46,1.9079333239879899,0.13308757378407907
2013,6,2013.46,1.9373561059909539,0.13238380172411768
2014,6,2014.46,1.9465674803031694,0.1278600018676643
2015,6,2015.46,1.9677858836596582,0.13299912112743487
2016,6,2016.46,2.1389154431359017,0.13622997189197536
2017,6,2017.46,2.2674909334704263,0.14162107433942348
2018,6,2018.46,2.2119538875579834,0.13869458997583145
2019,6,2019.46,2.2036141167563446,0.13613941082841757
2020,6,2020.46,2.1686617929881904,0.13875398679766335
2021,6,2021.46,2.2563987648752435,0.1924415060909131
