,name,hierarchy,countries,iso3
0,Argentina,G20 members,,
1,Australia,G20 members,,
2,Brazil,G20 members,,
3,Canada,G20 members,,
4,China,G20 members,,
5,France,G20 members,,
6,Germany,G20 members,,
7,India,G20 members,,
8,Indonesia,G20 members,,
9,Italy,G20 members,,
10,Japan,G20 members,,
11,Mexico,G20 members,,
12,Russian Federation,G20 members,,
13,Saudi Arabia,G20 members,,
14,South Africa,G20 members,,
15,South Korea,G20 members,,
16,Turkey,G20 members,,
17,United Kingdom,G20 members,,
18,United States,G20 members,,
19,African Union,G20 members,,
20,European Union,G20 members,,
21,European Union and United Kingdom,G20 members,,
22,World,common,,
23,International,common,,
24,OECD & EU (R5),R5,"['Albania', 'Australia', 'Austria', 'Belgium', 'Bosnia and Herzegovina', 'Bulgaria', 'Canada', 'Croatia', 'Cyprus', 'Czechia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Greece', 'Guam', 'Hungary', 'Iceland', 'Ireland', 'Italy', 'Japan', 'Kosovo', 'Latvia', 'Lithuania', 'Luxembourg', 'Malta', 'Montenegro', 'Netherlands', 'New Zealand', 'North Macedonia', 'Norway', 'Poland', 'Portugal', 'Puerto Rico', 'Romania', 'Serbia', 'Slovakia', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Turkey', 'United Kingdom', 'United States']","['ALB', 'AUS', 'AUT', 'BEL', 'BIH', 'BGR', 'CAN', 'HRV', 'CYP', 'CZE', 'DNK', 'EST', 'FIN', 'FRA', 'DEU', 'GRC', 'GUM', 'HUN', 'ISL', 'IRL', 'ITA', 'JPN', 'KOS', 'LVA', 'LTU', 'LUX', 'MLT', 'MNE', 'NLD', 'NZL', 'MKD', 'NOR', 'POL', 'PRT', 'PRI', 'ROU', 'SRB', 'SVK', 'SVN', 'ESP', 'SWE', 'CHE', 'TUR', 'GBR', 'USA']"
25,Reforming Economies (R5),R5,"['Armenia', 'Azerbaijan', 'Belarus', 'Georgia', 'Kazakhstan', 'Kyrgyzstan', 'Moldova', 'Russian Federation', 'Tajikistan', 'Turkmenistan', 'Ukraine', 'Uzbekistan']","['ARM', 'AZE', 'BLR', 'GEO', 'KAZ', 'KGZ', 'MDA', 'RUS', 'TJK', 'TKM', 'UKR', 'UZB']"
