,name,hierarchy,countries,iso3
0,AIM 3.0|Brazil,AIM 3.0,['Brazil'],['BRA']
1,AIM 3.0|Canada,AIM 3.0,['Canada'],['CAN']
2,AIM 3.0|China,AIM 3.0,"['China', 'Hong Kong', 'Macao']","['CHN', 'HKG', 'MAC']"
3,AIM 3.0|Former USSR,AIM 3.0,"['Armenia', 'Azerbaijan', 'Belarus', 'Georgia', 'Kazakhstan', 'Kyrgyzstan', 'Moldova', 'Russian Federation', 'Tajikistan', 'Turkmenistan', 'Ukraine', 'Uzbekistan']","['ARM', 'AZE', 'BLR', 'GEO', 'KAZ', 'KGZ', 'MDA', 'RUS', 'TJK', 'TKM', 'UKR', 'UZB']"
4,AIM 3.0|India,AIM 3.0,['India'],['IND']
5,AIM 3.0|Japan,AIM 3.0,['Japan'],['JPN']
6,AIM 3.0|Turkey,AIM 3.0,['Turkey'],['TUR']
7,AIM 3.0|USA,AIM 3.0,['United States'],['USA']
8,AIM 3.0|Other Africa,AIM 3.0,"['Angola', 'Benin', 'Botswana', 'Burkina Faso', 'Burundi', 'Cabo Verde', 'Cameroon', 'Central African Republic', 'Chad', 'Comoros', 'Congo', ""Côte d'Ivoire"", 'Democratic Republic of the Congo', 'Djibouti', 'Equatorial Guinea', 'Eritrea', 'Eswatini', 'Ethiopia', 'Gabon', 'Gambia', 'Ghana', 'Guinea', 'Guinea-Bissau', 'Kenya', 'Lesotho', 'Liberia', 'Madagascar', 'Malawi', 'Mali', 'Mauritania', 'Mauritius', 'Mayotte', 'Mozambique', 'Namibia', 'Niger', 'Nigeria', 'Rwanda', 'Réunion', 'Sao Tome and Principe', 'Senegal', 'Seychelles', 'Sierra Leone', 'Somalia', 'South Africa', 'South Sudan', 'Sudan', 'Tanzania', 'Togo', 'Uganda', 'Western Sahara', 'Zambia', 'Zimbabwe']","['AGO', 'BEN', 'BWA', 'BFA', 'BDI', 'CPV', 'CMR', 'CAF', 'TCD', 'COM', 'COG', 'CIV', 'COD', 'DJI', 'GNQ', 'ERI', 'SWZ', 'ETH', 'GAB', 'GMB', 'GHA', 'GIN', 'GNB', 'KEN', 'LSO', 'LBR', 'MDG', 'MWI', 'MLI', 'MRT', 'MUS', 'MYT', 'MOZ', 'NAM', 'NER', 'NGA', 'RWA', 'REU', 'STP', 'SEN', 'SYC', 'SLE', 'SOM', 'ZAF', 'SSD', 'SDN', 'TZA', 'TGO', 'UGA', 'ESH', 'ZMB', 'ZWE']"
9,AIM 3.0|EU & UK,AIM 3.0,"['Austria', 'Belgium', 'Cyprus', 'Czechia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Greece', 'Hungary', 'Ireland', 'Italy', 'Latvia', 'Lithuania', 'Luxembourg', 'Malta', 'Netherlands', 'Poland', 'Portugal', 'Slovakia', 'Slovenia', 'Spain', 'Sweden', 'United Kingdom']","['AUT', 'BEL', 'CYP', 'CZE', 'DNK', 'EST', 'FIN', 'FRA', 'DEU', 'GRC', 'HUN', 'IRL', 'ITA', 'LVA', 'LTU', 'LUX', 'MLT', 'NLD', 'POL', 'PRT', 'SVK', 'SVN', 'ESP', 'SWE', 'GBR']"
10,AIM 3.0|Rest of Europe,AIM 3.0,"['Albania', 'Andorra', 'Bosnia and Herzegovina', 'Bulgaria', 'Croatia', 'Faroe Islands', 'Gibraltar', 'Iceland', 'Kosovo', 'Liechtenstein', 'Monaco', 'Montenegro', 'North Macedonia', 'Norway', 'Romania', 'San Marino', 'Serbia', 'Svalbard and Jan Mayen', 'Switzerland', 'Vatican']","['ALB', 'AND', 'BIH', 'BGR', 'HRV', 'FRO', 'GIB', 'ISL', 'KOS', 'LIE', 'MCO', 'MNE', 'MKD', 'NOR', 'ROU', 'SMR', 'SRB', 'SJM', 'CHE', 'VAT']"
