,name,hierarchy,countries,iso3
0,COFFEE 1.6|Africa (excluding South Africa),COFFEE 1.6,"['Algeria', 'Angola', 'Benin', 'Botswana', 'Burkina Faso', 'Burundi', 'Cabo Verde', 'Cameroon', 'Central African Republic', 'Chad', 'Comoros', 'Congo', ""Côte d'Ivoire"", 'Democratic Republic of the Congo', 'Djibouti', 'Egypt', 'Equatorial Guinea', 'Eritrea', 'Eswatini', 'Ethiopia', 'Gabon', 'Gambia', 'Ghana', 'Guinea', 'Guinea-Bissau', 'Kenya', 'Lesotho', 'Liberia', 'Libya', 'Madagascar', 'Malawi', 'Mali', 'Mauritania', 'Mauritius', 'Mayotte', 'Morocco', 'Mozambique', 'Namibia', 'Niger', 'Nigeria', 'Rwanda', 'Réunion', 'Sao Tome and Principe', 'Senegal', 'Seychelles', 'Sierra Leone', 'Somalia', 'South Sudan', 'Sudan', 'Tanzania', 'Togo', 'Tunisia', 'Uganda', 'Western Sahara', 'Zambia', 'Zimbabwe']","['DZA', 'AGO', 'BEN', 'BWA', 'BFA', 'BDI', 'CPV', 'CMR', 'CAF', 'TCD', 'COM', 'COG', 'CIV', 'COD', 'DJI', 'EGY', 'GNQ', 'ERI', 'SWZ', 'ETH', 'GAB', 'GMB', 'GHA', 'GIN', 'GNB', 'KEN', 'LSO', 'LBR', 'LBY', 'MDG', 'MWI', 'MLI', 'MRT', 'MUS', 'MYT', 'MAR', 'MOZ', 'NAM', 'NER', 'NGA', 'RWA', 'REU', 'STP', 'SEN', 'SYC', 'SLE', 'SOM', 'SSD', 'SDN', 'TZA', 'TGO', 'TUN', 'UGA', 'ESH', 'ZMB', 'ZWE']"
1,COFFEE 1.6|Australia & New Zealand,COFFEE 1.6,"['Australia', 'New Zealand']","['AUS', 'NZL']"
2,COFFEE 1.6|Brazil,COFFEE 1.6,['Brazil'],['BRA']
3,COFFEE 1.6|Central America,COFFEE 1.6,"['Anguilla', 'Antigua and Barbuda', 'Aruba', 'Bahamas', 'Barbados', 'Belize', 'Bermuda', 'Bonaire, Sint Eustatius and Saba', 'Cayman Islands', 'Costa Rica', 'Cuba', 'Curaçao', 'Dominica', 'Dominican Republic', 'El Salvador', 'French Guiana', 'Grenada', 'Guadeloupe', 'Guatemala', 'Guyana', 'Haiti', 'Honduras', 'Jamaica', 'Martinique', 'Mexico', 'Montserrat', 'Nicaragua', 'Panama', 'Saint Barthélemy', 'Saint Kitts and Nevis', 'Saint Lucia', 'Saint Martin (French part)', 'Saint Vincent and the Grenadines', 'Sint Maarten (Dutch part)', 'Suriname', 'Trinidad and Tobago', 'Turks and Caicos Islands']","['AIA', 'ATG', 'ABW', 'BHS', 'BRB', 'BLZ', 'BMU', 'BES', 'CYM', 'CRI', 'CUB', 'CUW', 'DMA', 'DOM', 'SLV', 'GUF', 'GRD', 'GLP', 'GTM', 'GUY', 'HTI', 'HND', 'JAM', 'MTQ', 'MEX', 'MSR', 'NIC', 'PAN', 'BLM', 'KNA', 'LCA', 'MAF', 'VCT', 'SXM', 'SUR', 'TTO', 'TCA']"
4,COFFEE 1.6|Canada,COFFEE 1.6,"['Canada', 'Saint Helena, Ascension and Tristan da Cunha', 'Saint Pierre and Miquelon']","['CAN', 'SHN', 'SPM']"
5,COFFEE 1.6|Caspian Sea,COFFEE 1.6,"['Afghanistan', 'Armenia', 'Azerbaijan', 'Georgia', 'Kazakhstan', 'Kyrgyzstan', 'Pakistan', 'Tajikistan', 'Turkmenistan', 'Uzbekistan']","['AFG', 'ARM', 'AZE', 'GEO', 'KAZ', 'KGZ', 'PAK', 'TJK', 'TKM', 'UZB']"
6,COFFEE 1.6|China,COFFEE 1.6,"['China', 'Hong Kong', 'Macao']","['CHN', 'HKG', 'MAC']"
7,COFFEE 1.6|Europe,COFFEE 1.6,"['Andorra', 'Austria', 'Belgium', 'Bouvet Island', 'Bulgaria', 'Cyprus', 'Czechia', 'Denmark', 'Estonia', 'Faroe Islands', 'Finland', 'France', 'Germany', 'Gibraltar', 'Greece', 'Greenland', 'Guernsey', 'Hungary', 'Iceland', 'Ireland', 'Isle of Man', 'Italy', 'Jersey', 'Latvia', 'Liechtenstein', 'Lithuania', 'Luxembourg', 'Malta', 'Monaco', 'Netherlands', 'Norway', 'Poland', 'Portugal', 'Romania', 'San Marino', 'Slovakia', 'Slovenia', 'Spain', 'Svalbard and Jan Mayen', 'Sweden', 'Switzerland', 'Turkey', 'United Kingdom', 'Vatican', 'Åland Islands']","['AND', 'AUT', 'BEL', 'BVT', 'BGR', 'CYP', 'CZE', 'DNK', 'EST', 'FRO', 'FIN', 'FRA', 'DEU', 'GIB', 'GRC', 'GRL', 'GGY', 'HUN', 'ISL', 'IRL', 'IMN', 'ITA', 'JEY', 'LVA', 'LIE', 'LTU', 'LUX', 'MLT', 'MCO', 'NLD', 'NOR', 'POL', 'PRT', 'ROU', 'SMR', 'SVK', 'SVN', 'ESP', 'SJM', 'SWE', 'CHE', 'TUR', 'GBR', 'VAT', 'ALA']"
8,COFFEE 1.6|India,COFFEE 1.6,['India'],['IND']
9,COFFEE 1.6|Japan,COFFEE 1.6,['Japan'],['JPN']
