,name,hierarchy,countries,iso3
0,GCAM 7.1|Africa_Eastern,GCAM 7.1,"['Burundi', 'Comoros', 'Djibouti', 'Eritrea', 'Ethiopia', 'Kenya', 'Madagascar', 'Mauritius', 'Réunion', 'Rwanda', 'Somalia', 'Sudan', 'South Sudan', 'Uganda']","['BDI', 'COM', 'DJI', 'ERI', 'ETH', 'KEN', 'MDG', 'MUS', 'REU', 'RWA', 'SOM', 'SDN', 'SSD', 'UGA']"
1,GCAM 7.1|Africa_Northern,GCAM 7.1,"['Algeria', 'Egypt', 'Libya', 'Morocco', 'Tunisia', 'Western Sahara']","['DZA', 'EGY', 'LBY', 'MAR', 'TUN', 'ESH']"
2,GCAM 7.1|Africa_Southern,GCAM 7.1,"['Angola', 'Mozambique', 'Malawi', 'Lesotho', 'Botswana', 'Tanzania', 'Namibia', 'Eswatini', 'Zambia', 'Zimbabwe']","['AGO', 'MOZ', 'MWI', 'LSO', 'BWA', 'TZA', 'NAM', 'SWZ', 'ZMB', 'ZWE']"
3,GCAM 7.1|Africa_Western,GCAM 7.1,"['Benin', 'Congo', 'Democratic Republic of the Congo', 'Cameroon', 'Chad', 'Central African Republic', 'Cabo Verde', 'Equatorial Guinea', 'Gambia', 'Gabon', 'Ghana', 'Guinea', ""Côte d'Ivoire"", 'Liberia', 'Mali', 'Mauritania', 'Niger', 'Nigeria', 'Guinea-Bissau', 'Senegal', 'Sierra Leone', 'Togo', 'Sao Tome and Principe', 'Burkina Faso']","['BEN', 'COG', 'COD', 'CMR', 'TCD', 'CAF', 'CPV', 'GNQ', 'GMB', 'GAB', 'GHA', 'GIN', 'CIV', 'LBR', 'MLI', 'MRT', 'NER', 'NGA', 'GNB', 'SEN', 'SLE', 'TGO', 'STP', 'BFA']"
4,GCAM 7.1|Argentina,GCAM 7.1,['Argentina'],['ARG']
5,GCAM 7.1|Australia_NZ,GCAM 7.1,"['Australia', 'New Zealand']","['AUS', 'NZL']"
6,GCAM 7.1|Brazil,GCAM 7.1,['Brazil'],['BRA']
7,GCAM 7.1|Canada,GCAM 7.1,['Canada'],['CAN']
8,GCAM 7.1|Central America and Caribbean,GCAM 7.1,"['Antigua and Barbuda', 'Barbados', 'Bermuda', 'Bahamas', 'Belize', 'Cayman Islands', 'Costa Rica', 'Cuba', 'Dominica', 'Dominican Republic', 'El Salvador', 'Grenada', 'Guatemala', 'Haiti', 'Honduras', 'Jamaica', 'Martinique', 'Montserrat', 'Aruba', 'Anguilla', 'Nicaragua', 'Panama', 'Saint Kitts and Nevis', 'Saint Lucia', 'Trinidad and Tobago', 'Saint Vincent and the Grenadines', 'Guadeloupe']","['ATG', 'BRB', 'BMU', 'BHS', 'BLZ', 'CYM', 'CRI', 'CUB', 'DMA', 'DOM', 'SLV', 'GRD', 'GTM', 'HTI', 'HND', 'JAM', 'MTQ', 'MSR', 'ABW', 'AIA', 'NIC', 'PAN', 'KNA', 'LCA', 'TTO', 'VCT', 'GLP']"
9,GCAM 7.1|Central Asia,GCAM 7.1,"['Azerbaijan', 'Armenia', 'Georgia', 'Kyrgyzstan', 'Kazakhstan', 'Mongolia', 'Tajikistan', 'Turkmenistan', 'Uzbekistan']","['AZE', 'ARM', 'GEO', 'KGZ', 'KAZ', 'MNG', 'TJK', 'TKM', 'UZB']"
