,name,hierarchy,countries,iso3
0,IMAGE 3.4|Brazil,IMAGE 3.4,['Brazil'],['BRA']
1,IMAGE 3.4|Canada,IMAGE 3.4,['Canada'],['CAN']
2,IMAGE 3.4|Central Europe,IMAGE 3.4,"['Albania', 'Bosnia and Herzegovina', 'Bulgaria', 'Croatia', 'Cyprus', 'Czechia', 'Estonia', 'Hungary', 'Latvia', 'Lithuania', 'North Macedonia', 'Poland', 'Romania', 'Serbia', 'Montenegro', 'Slovakia', 'Slovenia']","['ALB', 'BIH', 'BGR', 'HRV', 'CYP', 'CZE', 'EST', 'HUN', 'LVA', 'LTU', 'MKD', 'POL', 'ROU', 'SRB', 'MNE', 'SVK', 'SVN']"
3,IMAGE 3.4|China Region,IMAGE 3.4,"['China', 'Hong Kong', 'Macao', 'Mongolia', 'Taiwan']","['CHN', 'HKG', 'MAC', 'MNG', 'TWN']"
4,IMAGE 3.4|Eastern Africa,IMAGE 3.4,"['Burundi', 'Comoros', 'Djibouti', 'Eritrea', 'Ethiopia', 'Kenya', 'Madagascar', 'Mauritius', 'Réunion', 'Rwanda', 'Seychelles', 'Somalia', 'Sudan', 'Uganda']","['BDI', 'COM', 'DJI', 'ERI', 'ETH', 'KEN', 'MDG', 'MUS', 'REU', 'RWA', 'SYC', 'SOM', 'SDN', 'UGA']"
5,IMAGE 3.4|India,IMAGE 3.4,['India'],['IND']
6,IMAGE 3.4|Indonesia Region,IMAGE 3.4,"['Timor-Leste', 'Indonesia', 'Papua New Guinea']","['TLS', 'IDN', 'PNG']"
7,IMAGE 3.4|Japan,IMAGE 3.4,['Japan'],['JPN']
8,IMAGE 3.4|Korea Region,IMAGE 3.4,"['South Korea', 'North Korea']","['KOR', 'PRK']"
9,IMAGE 3.4|Middle East,IMAGE 3.4,"['Bahrain', 'Iran', 'Iraq', 'Israel', 'Jordan', 'Kuwait', 'Lebanon', 'Oman', 'Palestine', 'Qatar', 'Saudi Arabia', 'Syria', 'United Arab Emirates', 'Yemen']","['BHR', 'IRN', 'IRQ', 'ISR', 'JOR', 'KWT', 'LBN', 'OMN', 'PSE', 'QAT', 'SAU', 'SYR', 'ARE', 'YEM']"
10,IMAGE 3.4|Mexico,IMAGE 3.4,['Mexico'],['MEX']
11,IMAGE 3.4|Northern Africa,IMAGE 3.4,"['Algeria', 'Egypt', 'Libya', 'Morocco', 'Tunisia', 'Western Sahara']","['DZA', 'EGY', 'LBY', 'MAR', 'TUN', 'ESH']"
12,IMAGE 3.4|Oceania,IMAGE 3.4,"['American Samoa', 'Australia', 'Cook Islands', 'Fiji', 'French Polynesia', 'Kiribati', 'Marshall Islands', 'Micronesia', 'Nauru', 'New Caledonia', 'New Zealand', 'Niue', 'Northern Mariana Islands', 'Palau', 'Pitcairn', 'Samoa', 'Solomon Islands', 'Tokelau', 'Tonga', 'Tuvalu', 'Vanuatu', 'Wallis and Futuna']","['ASM', 'AUS', 'COK', 'FJI', 'PYF', 'KIR', 'MHL', 'FSM', 'NRU', 'NCL', 'NZL', 'NIU', 'MNP', 'PLW', 'PCN', 'WSM', 'SLB', 'TKL', 'TON', 'TUV', 'VUT', 'WLF']"
13,IMAGE 3.4|Central America,IMAGE 3.4,"['Anguilla', 'Aruba', 'Bahamas', 'Barbados', 'Belize', 'Bermuda', 'Cayman Islands', 'Costa Rica', 'Dominica', 'Dominican Republic', 'El Salvador', 'Grenada', 'Guadeloupe', 'Guatemala', 'Haiti', 'Honduras', 'Jamaica', 'Martinique', 'Montserrat', 'Nicaragua', 'Panama', 'Puerto Rico', 'Saint Kitts and Nevis', 'Saint Lucia', 'Saint Vincent and the Grenadines', 'Trinidad and Tobago', 'Turks and Caicos Islands', 'British Virgin Islands', 'United States Virgin Islands']","['AIA', 'ABW', 'BHS', 'BRB', 'BLZ', 'BMU', 'CYM', 'CRI', 'DMA', 'DOM', 'SLV', 'GRD', 'GLP', 'GTM', 'HTI', 'HND', 'JAM', 'MTQ', 'MSR', 'NIC', 'PAN', 'PRI', 'KNA', 'LCA', 'VCT', 'TTO', 'TCA', 'VGB', 'VIR']"
14,IMAGE 3.4|Rest of Southern Africa,IMAGE 3.4,"['Angola', 'Botswana', 'Lesotho', 'Malawi', 'Mozambique', 'Namibia', 'Eswatini', 'Tanzania', 'Zambia', 'Zimbabwe']","['AGO', 'BWA', 'LSO', 'MWI', 'MOZ', 'NAM', 'SWZ', 'TZA', 'ZMB', 'ZWE']"
15,IMAGE 3.4|Rest of South America,IMAGE 3.4,"['Argentina', 'Bolivia', 'Chile', 'Colombia', 'Ecuador', 'French Guiana', 'Guyana', 'Paraguay', 'Peru', 'Suriname', 'Uruguay', 'Venezuela']","['ARG', 'BOL', 'CHL', 'COL', 'ECU', 'GUF', 'GUY', 'PRY', 'PER', 'SUR', 'URY', 'VEN']"
16,IMAGE 3.4|Rest of South Asia,IMAGE 3.4,"['Afghanistan', 'Bangladesh', 'Bhutan', 'Maldives', 'Nepal', 'Pakistan', 'Sri Lanka']","['AFG', 'BGD', 'BTN', 'MDV', 'NPL', 'PAK', 'LKA']"
17,IMAGE 3.4|Russia Region,IMAGE 3.4,"['Armenia', 'Azerbaijan', 'Georgia', 'Russian Federation']","['ARM', 'AZE', 'GEO', 'RUS']"
18,IMAGE 3.4|South Africa,IMAGE 3.4,['South Africa'],['ZAF']
19,IMAGE 3.4|Southeastern Asia,IMAGE 3.4,"['Brunei Darussalam', 'Cambodia', 'Laos', 'Malaysia', 'Myanmar', 'Philippines', 'Singapore', 'Thailand', 'Viet Nam']","['BRN', 'KHM', 'LAO', 'MYS', 'MMR', 'PHL', 'SGP', 'THA', 'VNM']"
20,IMAGE 3.4|Central Asia,IMAGE 3.4,"['Kazakhstan', 'Kyrgyzstan', 'Tajikistan', 'Turkmenistan', 'Uzbekistan']","['KAZ', 'KGZ', 'TJK', 'TKM', 'UZB']"
21,IMAGE 3.4|Turkey,IMAGE 3.4,['Turkey'],['TUR']
22,IMAGE 3.4|Ukraine Region,IMAGE 3.4,"['Belarus', 'Moldova', 'Ukraine']","['BLR', 'MDA', 'UKR']"
23,IMAGE 3.4|United States,IMAGE 3.4,"['Saint Pierre and Miquelon', 'United States']","['SPM', 'USA']"
24,IMAGE 3.4|Western Africa,IMAGE 3.4,"['Benin', 'Burkina Faso', 'Cameroon', 'Cabo Verde', 'Central African Republic', 'Chad', 'Democratic Republic of the Congo', ""Côte d'Ivoire"", 'Equatorial Guinea', 'Gabon', 'Gambia', 'Ghana', 'Guinea', 'Guinea-Bissau', 'Liberia', 'Mali', 'Mauritania', 'Niger', 'Nigeria', 'Sao Tome and Principe', 'Senegal', 'Sierra Leone', 'Saint Helena, Ascension and Tristan da Cunha', 'Togo']","['BEN', 'BFA', 'CMR', 'CPV', 'CAF', 'TCD', 'COD', 'CIV', 'GNQ', 'GAB', 'GMB', 'GHA', 'GIN', 'GNB', 'LBR', 'MLI', 'MRT', 'NER', 'NGA', 'STP', 'SEN', 'SLE', 'SHN', 'TGO']"
