,name,hierarchy,countries,iso3
0,MESSAGEix-GLOBIOM-GAINS 2.1-R12|Sub-Saharan Africa,MESSAGEix-GLOBIOM-GAINS 2.1-R12,"['Angola', 'Benin', 'Congo', 'Democratic Republic of the Congo', 'Burundi', 'Cameroon', 'Chad', 'Comoros', 'Central African Republic', 'Cabo Verde', 'Djibouti', 'Equatorial Guinea', 'Eswatini', 'Eritrea', 'Ethiopia', 'Gambia', 'Gabon', 'Ghana', 'Guinea', ""Côte d'Ivoire"", 'Kenya', 'Liberia', 'Madagascar', 'Mali', 'Mauritius', 'Mauritania', 'Mozambique', 'Malawi', 'Niger', 'Nigeria', 'Guinea-Bissau', 'Rwanda', 'Seychelles', 'South Africa', 'Lesotho', 'Botswana', 'Senegal', 'Sierra Leone', 'Somalia', 'Togo', 'Sao Tome and Principe', 'Tanzania', 'Uganda', 'Burkina Faso', 'Namibia', 'Zambia', 'Zimbabwe', 'Western Sahara']","['AGO', 'BEN', 'COG', 'COD', 'BDI', 'CMR', 'TCD', 'COM', 'CAF', 'CPV', 'DJI', 'GNQ', 'SWZ', 'ERI', 'ETH', 'GMB', 'GAB', 'GHA', 'GIN', 'CIV', 'KEN', 'LBR', 'MDG', 'MLI', 'MUS', 'MRT', 'MOZ', 'MWI', 'NER', 'NGA', 'GNB', 'RWA', 'SYC', 'ZAF', 'LSO', 'BWA', 'SEN', 'SLE', 'SOM', 'TGO', 'STP', 'TZA', 'UGA', 'BFA', 'NAM', 'ZMB', 'ZWE', 'ESH']"
1,MESSAGEix-GLOBIOM-GAINS 2.1-R12|Rest of Centrally Planned Asia,MESSAGEix-GLOBIOM-GAINS 2.1-R12,"['Cambodia', 'North Korea', 'Laos', 'Mongolia', 'Macao', 'Viet Nam']","['KHM', 'PRK', 'LAO', 'MNG', 'MAC', 'VNM']"
2,MESSAGEix-GLOBIOM-GAINS 2.1-R12|China,MESSAGEix-GLOBIOM-GAINS 2.1-R12,"['China', 'Hong Kong']","['CHN', 'HKG']"
3,MESSAGEix-GLOBIOM-GAINS 2.1-R12|Eastern Europe,MESSAGEix-GLOBIOM-GAINS 2.1-R12,"['Albania', 'Bosnia and Herzegovina', 'Bulgaria', 'Estonia', 'Czechia', 'Croatia', 'Hungary', 'Latvia', 'Lithuania', 'Slovakia', 'North Macedonia', 'Montenegro', 'Poland', 'Romania', 'Slovenia', 'Serbia']","['ALB', 'BIH', 'BGR', 'EST', 'CZE', 'HRV', 'HUN', 'LVA', 'LTU', 'SVK', 'MKD', 'MNE', 'POL', 'ROU', 'SVN', 'SRB']"
4,MESSAGEix-GLOBIOM-GAINS 2.1-R12|Former Soviet Union,MESSAGEix-GLOBIOM-GAINS 2.1-R12,"['Azerbaijan', 'Armenia', 'Georgia', 'Kyrgyzstan', 'Kazakhstan', 'Belarus', 'Moldova', 'Russian Federation', 'Tajikistan', 'Turkmenistan', 'Ukraine', 'Uzbekistan']","['AZE', 'ARM', 'GEO', 'KGZ', 'KAZ', 'BLR', 'MDA', 'RUS', 'TJK', 'TKM', 'UKR', 'UZB']"
5,MESSAGEix-GLOBIOM-GAINS 2.1-R12|Latin America and the Caribbean,MESSAGEix-GLOBIOM-GAINS 2.1-R12,"['Antigua and Barbuda', 'Argentina', 'Barbados', 'Bermuda', 'Bahamas', 'Belize', 'Bolivia', 'Brazil', 'Chile', 'Cayman Islands', 'Colombia', 'Costa Rica', 'Cuba', 'Dominica', 'Dominican Republic', 'Ecuador', 'El Salvador', 'French Guiana', 'Falkland Islands (Malvinas)', 'Grenada', 'Guatemala', 'Guyana', 'Haiti', 'Honduras', 'Jamaica', 'Martinique', 'Montserrat', 'Mexico', 'Aruba', 'Anguilla', 'Suriname', 'Nicaragua', 'Paraguay', 'Peru', 'Panama', 'Saint Kitts and Nevis', 'Saint Lucia', 'Trinidad and Tobago', 'Uruguay', 'Saint Vincent and the Grenadines', 'Venezuela', 'Guadeloupe', 'Turks and Caicos Islands']","['ATG', 'ARG', 'BRB', 'BMU', 'BHS', 'BLZ', 'BOL', 'BRA', 'CHL', 'CYM', 'COL', 'CRI', 'CUB', 'DMA', 'DOM', 'ECU', 'SLV', 'GUF', 'FLK', 'GRD', 'GTM', 'GUY', 'HTI', 'HND', 'JAM', 'MTQ', 'MSR', 'MEX', 'ABW', 'AIA', 'SUR', 'NIC', 'PRY', 'PER', 'PAN', 'KNA', 'LCA', 'TTO', 'URY', 'VCT', 'VEN', 'GLP', 'TCA']"
6,MESSAGEix-GLOBIOM-GAINS 2.1-R12|Middle East and North Africa,MESSAGEix-GLOBIOM-GAINS 2.1-R12,"['Algeria', 'Bahrain', 'Egypt', 'Iran', 'Israel', 'Iraq', 'Jordan', 'Kuwait', 'Lebanon', 'Libya', 'Morocco', 'Oman', 'Palestine', 'Qatar', 'Saudi Arabia', 'Sudan', 'South Sudan', 'Syria', 'Tunisia', 'Yemen', 'United Arab Emirates']","['DZA', 'BHR', 'EGY', 'IRN', 'ISR', 'IRQ', 'JOR', 'KWT', 'LBN', 'LBY', 'MAR', 'OMN', 'PSE', 'QAT', 'SAU', 'SDN', 'SSD', 'SYR', 'TUN', 'YEM', 'ARE']"
7,MESSAGEix-GLOBIOM-GAINS 2.1-R12|North America,MESSAGEix-GLOBIOM-GAINS 2.1-R12,"['Canada', 'Guam', 'United States Minor Outlying Islands', 'Puerto Rico', 'United States', 'United States Virgin Islands']","['CAN', 'GUM', 'UMI', 'PRI', 'USA', 'VIR']"
8,MESSAGEix-GLOBIOM-GAINS 2.1-R12|Pacific OECD,MESSAGEix-GLOBIOM-GAINS 2.1-R12,"['Australia', 'Japan', 'New Zealand', 'Christmas Island', 'Heard Island and McDonald Islands', 'Tokelau']","['AUS', 'JPN', 'NZL', 'CXR', 'HMD', 'TKL']"
9,MESSAGEix-GLOBIOM-GAINS 2.1-R12|Other Pacific Asia,MESSAGEix-GLOBIOM-GAINS 2.1-R12,"['American Samoa', 'Myanmar', 'Solomon Islands', 'Brunei Darussalam', 'Cook Islands', 'Fiji', 'Micronesia', 'French Polynesia', 'Kiribati', 'South Korea', 'Malaysia', 'New Caledonia', 'Niue', 'Northern Mariana Islands', 'Cocos (Keeling) Islands', 'Vanuatu', 'Nauru', 'Papua New Guinea', 'Philippines', 'Singapore', 'Thailand', 'Tonga', 'Tuvalu', 'Samoa', 'Indonesia', 'Timor-Leste', 'Palau', 'Marshall Islands', 'Taiwan']","['ASM', 'MMR', 'SLB', 'BRN', 'COK', 'FJI', 'FSM', 'PYF', 'KIR', 'KOR', 'MYS', 'NCL', 'NIU', 'MNP', 'CCK', 'VUT', 'NRU', 'PNG', 'PHL', 'SGP', 'THA', 'TON', 'TUV', 'WSM', 'IDN', 'TLS', 'PLW', 'MHL', 'TWN']"
